ID,Name,PhoneNumber,Address,CostRange,Cuisine
21,'Marigold Kitchen',(608) 661-5559,'118 S Pinckney St',1,'Breakfast & Brunch'
22,'MOD Pizza',(608) 416-5224,'2960 Cahill Main',1,"'Fast Food,Pizza'"
23,'Fresh Cool Drinks',,'704-712 State St',1,"'Thai,Food Stands,Juice Bars & Smoothies'"
24,'Taqueria Guadalajara',(608) 250-1824,'1033 S Park St',1,'Mexican'
25,'Grampa’s Pizzeria',(608) 283-9580,'1374 Willamson St',1,"'Pizza,Bars'"
26,'Daisy Cafe & Cupcakery',(608) 241-2200,'2827 Atwood Ave',1,"'Breakfast & Brunch,Bakeries,American (New)'"
27,'Casetta Kitchen and Counter',(608) 467-8108,'222 W Washington Ave',1,"'Italian,Wine Bars,Sandwiches'"
28,'The Old Fashioned',(608) 310-4545,'23 N Pinckney St',1,"'American (Traditional),Breakfast & Brunch,Beer Bar'"
29,'Haveli Restaurant',(608) 274-3333,'5957 McKee Rd',1,'Indian'
30,'North and South Seafood & Smokehouse',(608) 829-0093,'6604 Mineral Point Rd',1,"'Seafood,Smokehouse,Coffee & Tea'"
31,'Lalo’s Mexican Restaurant',(608) 405-5851,'5510 University Ave',1,''
32,'Thai Basil',(608) 273-8890,'6714 Raymond Rd',1,'Thai'
33,'Poke It Up',(608) 709-5511,'540 University Ave',2,''
34,'Angelo’s',(608) 838-2233,'4706 Farwell St',1,"'Italian,Pizza'"
35,'Fraboni’s Italian Specialties & Delicatessen',(608) 222-6632,'108 Owen Rd',1,"'Italian,Delis,Specialty Food'"
36,'Barriques - West Wash',(608) 268-6264,'127 W Washington Ave',1,"'Coffee & Tea,Sandwiches,Bars'"
37,'Taigu',(608) 831-3458,'7610 Elmwood Ave',1,"'Chinese,Noodles,Soup'"
38,'The Village Green Bar & Grill',(608) 831-9962,'7508 Hubbard Ave',1,"'Bars,American (Traditional)'"
39,'Gino’s Italian Deli',(608) 273-1981,'4606 Verona Rd',1,"'Delis,Italian'"
40,'New Orleans Take-Out',(608) 280-8000,'1517 Monroe St',1,'Cajun/Creole'
41,'Smoky Jon’s No 1 BBQ',(608) 571-2305,'2310 Packers Ave',1,'Barbeque'
42,'Monona Bakery and Eatery',(608) 720-1133,'4544 Monona Dr',1,"'Breakfast & Brunch,Bakeries,Latin American'"
43,'Chocolaterian',(608) 836-1156,'6637 University Ave',1,"'Desserts,Cafes,Breakfast & Brunch'"
44,'Nonno’s Ristorante Italiano',(608) 661-9254,'704 S Whitney Way',1,'Italian'
45,'Madistan',(608) 422-5422,'317 N Bassett St',1,"'Mediterranean,Pakistani,Halal'"
46,'Canteen',(608) 285-5703,'111 S Hamilton St',1,"'Tacos,Cocktail Bars'"
47,'Poke Poke',(608) 665-3306,'600 Williamson St',1,"'Poke,Salad,Sushi Bars'"
48,'Bandung Indonesian Restaurant',(608) 255-6910,'600 Williamson St',1,'Indonesian'
49,'Lucille',(608) 283-0000,'101 King St',1,"'Pizza,American (New),Lounges'"
50,'Mid Town Pub',(608) 826-5129,'2405 Allen Blvd',1,"'American (Traditional),Sports Bars'"
51,'Fresco',(608) 663-7374,'227 State St',1,'American (New)'
52,'Freska Mediterranean Grill',(608) 203-5034,'8310 Greenway Blvd',1,'Mediterranean'
53,'Merchant',(608) 259-9799,'121 S Pinckney St',1,"'Cocktail Bars,Wine Bars,American (New)'"
54,'Sweet Home Wisconsin',(608) 819-6622,'910 Regent St',1,"'Hot Dogs,Burgers,Sandwiches'"
55,'Mint Mark',(608) 285-5096,'1929 Winnebago St',1,"'Bars,Breakfast & Brunch,American (Traditional)'"
56,'Cottage Cafe',(608) 221-4815,'915 Atlas Ave',1,"'Breakfast & Brunch,Cafes'"
57,'The Sow’s Ear',(608) 848-2755,'125 S Main St',1,"'Arts & Crafts,Art Classes,Cafes'"
58,'Ian’s Pizza By The Slice',(608) 257-9248,'319 N Frances St',1,'Pizza'
59,'Forequarter',(608) 609-4717,'708 E Johnson',1,"'American (New),Breakfast & Brunch,Beer Bar'"
60,'Saigon Noodles',(608) 827-9120,'6754 Odana Rd',1,"'Vietnamese,Noodles'"
61,'Madison Chocolate Company',(608) 286-1154,'729 Glenway St',1,"'Chocolatiers & Shops,Cafes'"
62,'Original Pancake House',(608) 231-3666,'5518 University Ave',1,'Breakfast & Brunch'
63,'Graze',(608) 251-2700,'1 S Pinckney St',1,'American (New)'
64,'Mickies Dairy Bar',(608) 256-9476,'1511 Monroe St',1,'Breakfast & Brunch'
65,'Chicken Licks',(608) 837-6721,'5508 County Rd N',1,"'Chicken Wings,Bars,American (Traditional)'"
66,'The Green Owl Cafe',(608) 285-5290,'1970 Atwood Ave',1,"'Vegetarian,Vegan,Cafes'"
67,'Pat O’Malley’s Jet Room',(608) 268-5010,'3606 Corben Ct',1,"'Diners,Breakfast & Brunch,American (Traditional)'"
68,'The Weary Traveler Freehouse',(608) 442-6207,'1201 Williamson St',1,"'American (New),Burgers'"
69,'Bassett Street Brunch Club',(608) 467-5051,'444 W Johnson St',1,"'Breakfast & Brunch,American (Traditional),Donuts'"
70,'Players Sports Bar',(608) 244-9722,'2013 Winnebago St',1,"'Sports Bars,Breakfast & Brunch,American (Traditional)'"
71,'Barriques - Monroe St.',(608) 284-9463,'1825 Monroe St',1,"'Beer, Wine & Spirits,Coffee & Tea,Cafes'"
72,'Pho Nam Noodle House',(608) 836-7040,'610 Junction Rd',1,"'Vietnamese,Noodles'"
73,'Lombardinos Italian Restaurant and Bar',(608) 238-1922,'2500 University Ave',1,"'Italian,Bars'"
74,'Taste of India',(608) 218-9200,'2623 Monroe St',1,'Indian'
75,'Greenbush Bar',(608) 257-2874,'914 Regent St',1,"'Italian,Pizza'"
76,'FreshFin Poké',(608) 665-3683,'502 University Ave',2,''
77,'The Waypoint Public House',(608) 222-0224,'320 W Broadway',1,"'American (New),Breakfast & Brunch,Pubs'"
78,'Lake Edge Seafood Company',(608) 467-9491,'4100 Monona Dr',1,"'Seafood Markets,American (Traditional)'"
79,'The Cooper’s Tavern',(608) 256-1600,'20 W Mifflin St',1,"'American (New),Pubs'"
80,'Common Pasta',,'1 E Main St',1,"'Italian,Food Trucks'"
81,'Madison Sourdough',(608) 442-8009,'916 Williamson St',1,"'Bakeries,Breakfast & Brunch,Patisserie/Cake Shop'"
82,'Cool Beans Coffee Cafe',(608) 244-8414,'1748 Eagan Rd',1,'Cafes'
83,'Tapatios',(608) 467-7400,'2990 Cahill Main',1,'Mexican'
84,'Beef Butter BBQ',(608) 640-5000,'3001 N Sherman Ave',1,'Barbeque'
85,'Monsoon Siam',(608) 284-9282,'2045 Atwood Ave',1,"'Thai,Soup,Bars'"
86,'HopCat',(608) 807-1361,'222 W Gorham St',1,"'American (Traditional),Pubs,Beer Bar'"
87,'Osteria Papavero',(608) 255-8376,'128 E Wilson St',1,'Italian'
88,'The Tipsy Cow',(608) 287-1455,'102 King St',1,"'Bars,American (Traditional)'"
89,'SoHo Gourmet Cuisines',(608) 960-4011,'2990 Cahill Main',1,"'Asian Fusion,Caterers'"
90,'DLUX',(608) 467-3130,'117 Martin Luther King Jr Blvd',1,"'Burgers,Cocktail Bars,Breakfast & Brunch'"
91,'Everly',(608) 416-5242,'2701 Monroe St',1,"'American (New),Breakfast & Brunch,Bars'"
92,'Cento',(608) 284-9378,'122 W Mifflin St',1,"'Italian,Breakfast & Brunch,Desserts'"
93,'Haldi Masala',(608) 841-1619,'7475 Mineral Point Rd',1,'Indian'
94,'Jordandal Cookhouse',(608) 848-3298,'600 W Verona Ave',1,'American (Traditional)'
95,'Short Stack Eatery',(608) 709-5569,'301 W Johnson St',1,'Breakfast & Brunch'
96,'Sardine',(608) 441-1600,'617 Williamson St',1,"'French,Breakfast & Brunch,Bars'"
97,'Mickey’s Tavern',(608) 251-9964,'1524 Williamson St',1,"'Pubs,American (New),Pizza'"
98,'Ian’s Pizza on State',(608) 257-9248,'100 State St',1,'Pizza'
99,'Habanero’s Mexican Grill',(608) 223-9222,'2229 S Stoughton Rd',1,'Mexican'
100,'Tempest Oyster Bar',(608) 258-1443,'120 E Wilson St',1,"'Bars,Seafood,Steakhouses'"
101,'Brasserie V',(608) 255-8500,'1923 Monroe St',1,"'Belgian,Brasseries,Sandwiches'"
102,'Fair Trade Coffee House',(608) 268-0477,'418 State St',1,"'Coffee & Tea,Cafes,Sandwiches'"
103,'La Mestiza',(608) 826-0178,'6644 Odana Rd',1,'Mexican'
104,'David’s Jamaican Cuisine',(608) 222-8109,'5696 Monona Dr',1,'Caribbean'
105,'The Free House Pub',(608) 831-5000,'1902 Parmenter St',1,"'Pubs,American (Traditional)'"
106,'Liliana’s Restaurant',(608) 442-4444,'2951 Triverton Pike',1,"'Cajun/Creole,Gluten-Free,Vegetarian'"
107,'Blue Agave',(608) 467-7733,'117 S Butler St',1,"'Mexican,Seafood,Latin American'"
108,'M-N-M’s Coffeehouse',(608) 850-3665,'509 W Main St',1,"'Sandwiches,Coffee & Tea,Ice Cream & Frozen Yogurt'"
109,'Taiwan Little Eats',(608) 251-8529,'320 State St',1,"'Bubble Tea,Taiwanese,Asian Fusion'"
110,'Toby’s Supper Club',(608) 222-6913,'3717 S Dutch Mill Rd',1,'American (Traditional)'
111,'Firefly Coffeehouse',(608) 835-6238,'114 N Main St',1,"'Coffee & Tea,Bakeries,Breakfast & Brunch'"
112,'Jade Mountain Tea Company',(608) 316-2789,'2611 E Johnson St',1,"'Bubble Tea,Taiwanese'"
113,'Ha Long Bay',(608) 255-2868,'1353 Williamson St',1,"'Vietnamese,Thai'"
114,'Lazy Jane’s',(608) 257-5263,'1358 Williamson St',1,"'Bakeries,Breakfast & Brunch,Soup'"
115,'Good Food Low Carb Cafe',(608) 630-8400,'4674 Cottage Grove Rd',1,"'Salad,Soup,Gluten-Free'"
116,'Dotty Dumpling’s Dowry',(608) 259-0000,'317 N Frances St',1,"'Burgers,Vegan,Vegetarian'"
117,'Manna Cafe & Bakery',(608) 709-2890,'611 N Sherman Ave',1,"'Bakeries,Breakfast & Brunch,Cafes'"
118,'Monty’s Blue Plate Diner',(608) 244-8505,'2089 Atwood Ave',1,"'Diners,American (Traditional),Vegetarian'"
119,'Estacion Inka',(608) 467-3010,'604 University Ave',1,"'Peruvian,Sandwiches,Salad'"
120,'Forage Kitchen',(608) 286-1455,'665 State St',1,"'Salad,Juice Bars & Smoothies'"
121,'PA’PA’S BBQ',(608) 575-6489,'1220 E Broadway',1,"'Food Trucks,Barbeque,Caterers'"
122,'The Great Dane Pub & Brewing Company',(608) 284-0000,'123 E Doty St',1,"'American (New),Brewpubs'"
123,'Swagat Indian Restaurant',(608) 836-9399,'707 N Highpoint Rd',1,'Indian'
124,'The Seafood Center',(608) 274-5255,'712 S Whitney Way',1,'Seafood'
125,'A La Brasa Mexican Grill',(608) 251-1700,'15 N Broom St',1,"'Latin American,Steakhouses,Mexican'"
126,'Abarrotes El Primo',(608) 318-1246,'105 E Main St',1,"'Grocery,Tacos'"
127,'Ancora Coffee',(608) 255-0285,'107 King St',1,"'Coffee & Tea,Breakfast & Brunch,Cafes'"
128,'Eldorado Grill',(608) 280-9378,'744 Williamson St',1,"'Tex-Mex,Breakfast & Brunch'"
129,'Sugar River Pizza',(608) 497-1800,'957 Liberty Dr',1,"'Pizza,Sandwiches'"
130,'Crema Cafe',(608) 224-1150,'4124 Monona Dr',1,"'Breakfast & Brunch,Sandwiches,Cafes'"
131,'Luang Prabang',,'728 State St',1,"'Thai,Food Stands'"
132,'Amber Indian Cuisine',(608) 824-0324,'6913 University Ave',1,"'Indian,Buffets'"
133,'Compadres Mexican Restaurant',(608) 203-8332,'1900 Cayuga St',1,"'Bars,Mexican'"
134,'Lakeside Street Coffee House',(608) 441-7599,'402 W Lakeside St',1,"'Coffee & Tea,Bakeries,Sandwiches'"
135,'Naples 15',(608) 250-6330,'15 N Butler St',1,'Italian'
136,'Oakcrest Tavern',(608) 233-1243,'5371 Old Middleton Rd',1,"'American (Traditional),Fish & Chips,Bars'"
137,'Ohio Tavern',,'224 Ohio Ave',1,"'Dive Bars,Tacos,Karaoke'"
138,'Jet’s Pizza',(608) 841-1700,'2831 Parmenter St',1,'Pizza'
139,'Barriques Market',(608) 277-9463,'5957 McKee Rd',1,"'Coffee & Tea,Beer, Wine & Spirits,Cafes'"
140,'Oliver’s Public House',(608) 819-8555,'2540 University Ave',1,"'American (New),Breakfast & Brunch'"
141,'The Paradise Lounge',(608) 256-2263,'119 W Main St',1,"'Dive Bars,American (New)'"
142,'The Plaza Tavern',(608) 255-6592,'319 N Henry St',1,"'Pubs,Burgers'"
143,'Fuegos - Steak Tapas Vegan',(608) 229-6920,'904 Williamson St',1,"'Tapas/Small Plates,Vegan,Steakhouses'"
144,'Craftsman Table & Tap',(608) 836-3988,'6712 Frank Lloyd Wright Ave',1,"'Gastropubs,American (Traditional),Breakfast & Brunch'"
145,'Indie Coffee',(608) 259-9621,'1225 Regent St',1,'Cafes'
146,'Eno Vino Wine Bar & Bistro',(608) 664-9565,'601 Junction Rd',1,"'Wine Bars,American (New)'"
147,'Jordan’s Big Ten Pub',(608) 251-6375,'1330 Regent St',1,"'American (Traditional),Sports Bars,Pubs'"
148,'Tornado Steak House',(608) 256-3570,'116 S Hamilton St',1,"'Steakhouses,Bars,Seafood'"
149,'Palenque Mexican Bar & Grill',(608) 838-1933,'5906 Hwy 51',1,'Mexican'
150,'El Rancho Mexican Grill',(608) 284-9702,'819 S Park St',1,'Mexican'
151,'Morris Ramen',(608) 416-5547,'106 King St',1,'Ramen'
152,'La Nopalera',(608) 467-3577,'5606 Schroeder Rd',1,"'Mexican,Juice Bars & Smoothies,Sandwiches'"
153,'Village Bar',(608) 233-9956,'3801 Mineral Point Rd',1,"'Pubs,Burgers,American (Traditional)'"
154,'Willalby’s Cafe',(608) 259-9032,'1351 Williamson St',1,'Breakfast & Brunch'
155,"'MOOYAH Burgers, Fries & Shakes'",(608) 270-1022,'6309 McKee Rd',1,"'Burgers,Ice Cream & Frozen Yogurt,Hot Dogs'"
156,'New Seoul Korean',(608) 829-3331,'721 N High Point Rd',1,'Korean'
157,'MACS',(608) 318-8823,'2804 Prairie Lakes Dr',1,"'American (New),Comfort Food'"
158,'Paoli Schoolhouse Shops & Café',(608) 848-6261,'6857 Paoli Rd',1,"'American (Traditional),Burgers,Sandwiches'"
159,'Cheba Hut Toasted Subs',(608) 819-8485,'453 W Gilman St',1,'Sandwiches'
160,'El Pastor',(608) 280-8898,'2010 S Park St',1,'Mexican'
161,'Ancora Coffee',(608) 233-5287,'3318 University Ave',1,"'Coffee & Tea,Breakfast & Brunch,Cafes'"
162,'MOD Pizza',(608) 240-9650,'2249 Zeier Rd',1,"'Fast Food,Pizza'"
163,'Asian Sweet Bakery',(608) 665-3988,'1017 S Park St',1,"'Bakeries,Chinese'"
164,'Helbachs Coffee House',(608) 821-0571,'410 Donofrio Dr',1,"'Coffee & Tea,Breakfast & Brunch,Cafes'"
165,'El Poblano Mexican Restaurant',(608) 204-2642,'3737 Milwaukee St',1,'Mexican'
166,'Himal Chuli',(608) 251-9225,'318 State St',1,'Himalayan/Nepalese'
167,'Miko Poke',(608) 416-5241,'2701 Monroe St',1,"'Poke,Hawaiian'"
168,'Johnson Public House',(608) 347-0483,'908 E Johnson St',1,"'Coffee & Tea,Breakfast & Brunch,Pubs'"
169,'Alchemy',(608) 204-7644,'1980 Atwood Ave',1,"'American (New),Burgers'"
170,'Salvatore’s Tomato Pies',(608) 318-1761,'121 E Main St',1,"'Pizza,Italian,American (New)'"
171,'Villa Tap',(608) 244-9627,'2302 Packers Ave',1,"'Dive Bars,American (Traditional)'"
172,'Pizza Brutta',(608) 841-1882,'6712 Frank Lloyd Wright Ave',1,'Pizza'
173,'La Rosita Latina Grocery Store',(608) 221-2203,'6005 Monona Dr',1,"'Grocery,Mexican,Latin American'"
174,'Rare Steakhouse',(608) 204-9000,'14 W Mifflin St',1,"'Steakhouses,Seafood,American (Traditional)'"
175,'Chick-fil-A',(608) 833-4344,'430 S Gammon Rd',1,'Fast Food'
176,'Los Atlantes',(608) 446-1462,'5706 Raymond Rd',1,'Mexican'
177,'Villa Dolce Cafe',(608) 833-0033,'1828 Parmenter St',1,"'Italian,Pizza,Wine Bars'"
178,'Lake Vista Cafe',(608) 261-4000,'1 John Nolen Dr',1,"'American (Traditional),Seafood'"
179,'Umami Ramen & Dumpling Bar',(608) 819-6319,'923 Williamson St',1,"'Japanese,Chinese,Taiwanese'"
180,'Nook',(608) 852-7894,'2138 Atwood Ave',0,''
181,'Mr.Kimchi Modern Korean',(608) 665-3020,'225 King St',0,''
182,'Taqueria El Jalapeño',(608) 709-1345,'1318 S Midvale Blvd',1,'Mexican'
183,'Crostini Sandwiches',(608) 241-4284,'231 North St',1,"'Sandwiches,Gluten-Free,Salad'"
184,'Cafe Porta Alba',(608) 441-0202,'558 N Midvale Blvd',1,"'Pizza,Italian'"
185,'Gloria’s Mexican Restaurant',(608) 203-9222,'610 Junction Rd',1,'Mexican'
186,'Poke Plus & Teriyaki',(608) 630-9283,'615 State St',1,"'Hawaiian,Poke'"
187,'Cafe La Bellitalia',(608) 243-1200,'1026 N Sherman Ave',1,"'Italian,Pizza'"
188,'Cafe Maya',(608) 709-1909,'5501 Odana Rd',1,"'Coffee & Tea,Breakfast & Brunch,Sandwiches'"
189,'Estrellón',(608) 251-2111,'313 W Johnson St',1,"'Spanish,Tapas Bars,Basque'"
190,'Parthenon Gyros',(608) 251-6311,'316 State St',1,'Greek'
191,'The Side Door Grill and Tap',(608) 310-4800,'240 W Gilman St',1,"'American (Traditional),Pubs,Burgers'"
192,'Maharana Indian Restaurant',(608) 246-8525,'1707 Theirer Rd',1,"'Indian,Soup,Seafood'"
193,'Otto’s Restaurant & Bar',(608) 274-4044,'6405 Mineral Point Rd',1,"'Mediterranean,Seafood,Bars'"
194,'Guimo’s Mexican Restaurant',(608) 318-2895,'126 N Bristol St',1,'Mexican'
195,'Tip Top Tavern',(608) 241-5515,'601 N North St',1,"'American (New),Pubs'"
196,'Lupe’s Taqueria',(608) 841-1715,'6719 Frank Lloyd Wright Blvd',1,'Mexican'
197,'Eno Vino Downtown',(608) 455-0663,'1 N Webster St',1,"'Wine Bars,Seafood,Cocktail Bars'"
198,'Takumi Japanese Restaurant',(608) 663-3899,'4222 E Towne Blvd',1,"'Japanese,Sushi Bars'"
199,'Brothers Three Bar & Grill',(608) 244-6818,'614 N Fair Oaks Ave',1,"'Burgers,American (Traditional),Bars'"
200,'Dexter’s Pub',(608) 244-3535,'301 North St',1,"'Pubs,American (Traditional),Sports Bars'"
201,'Gates & Brovi',(608) 819-8988,'3502 Monroe St',1,"'American (New),Sports Bars,Breakfast & Brunch'"
202,'Hubbard Avenue Diner',(608) 831-6800,'7445 Hubbard Ave',1,"'American (New),Diners'"
203,'Café Zupas',(608) 416-8148,'8310 Greenway Blvd',1,"'Salad,Soup,Sandwiches'"
204,'La Baguette',(608) 827-6775,'7424 Mineral Point Rd',1,"'Bakeries,Cafes,French'"
205,'Colectivo Coffee',(608) 255-0474,'25 S Pinckney St',1,"'Coffee & Tea,Bakeries,Breakfast & Brunch'"
206,'Bartaco Hilldale',(608) 620-8226,'464 N Midvale Blvd',1,'Tacos'
207,'Pinkus McBride Market',(608) 284-8000,'301 N Hamilton St',1,"'Grocery,Beer, Wine & Spirits,Delis'"
208,'Baldwin Street Grille',(608) 442-8400,'1304 E Washington Ave',1,"'Bars,American (Traditional)'"
209,'Squirrel’s Nest',(608) 838-0293,'2655 State Rd 51',1,"'Sports Bars,Breakfast & Brunch,Coffee & Tea'"
210,'Taqueria Sabor Queretano',(608) 249-0877,'4512 E Washington Ave',1,'Mexican'
211,'Willy Street Co-op - West',(608) 284-7800,'6825 University Ave',1,"'Grocery,Bakeries,Delis'"
212,'People’s Bakery',(608) 245-0404,'2810 E Washington Ave',1,"'Bakeries,Mediterranean,Lebanese'"
213,'Meze Mediterranean Cuisine',(608) 318-0010,'503 West Main St',2,''
214,'Strings Ramen',(608) 665-3837,'311 N Frances St',1,'Ramen'
215,'Plaka Taverna',(608) 251-4455,'410 E Wilson St',1,"'Greek,Mediterranean,Breakfast & Brunch'"
216,'Porter',(608) 720-1110,'640 W Washington Ave',1,"'Coffee & Tea,Breakfast & Brunch,Sandwiches'"
217,'Natt Spil',,'211 King St',1,"'Pizza,Dim Sum,Bars'"
218,'Muramoto Hilldale',(608) 441-1090,'546 N Midvale Blvd',1,'Sushi Bars'
219,'Ground Zero Coffee',(608) 294-8668,'744 Williamson St',1,'Cafes'
220,'Glass Nickel Pizza - Madison East',(608) 245-0880,'2916 Atwood Ave',1,"'Pizza,Sandwiches,Salad'"
221,'Metcalfe’s Market',(608) 238-7612,'726 N Midvale Blvd',1,"'Grocery,Florists,Cafes'"
222,'Vin Santo',(608) 836-1880,'7462 Hubbard Ave',1,'Italian'
223,'Taqueria Gonzalez',(608) 824-9619,'2606 Allen Blvd',1,"'Mexican,International Grocery'"
224,'DumplingHaus',(608) 661-4287,'540 N Midvale Blvd',1,'Chinese'
225,'Tex Tubb’s Taco Palace',(608) 242-1800,'2009 Atwood Ave',1,"'Mexican,Tex-Mex'"
226,'The Caribou Tavern',(608) 257-5993,'703 E Johnson St',1,"'Burgers,Dive Bars'"
227,'Rossi’s Pizza',(608) 222-5115,'4503 Monona Dr',1,"'Pizza,Arcades'"
228,'Blue Moon Bar & Grill',(608) 233-0441,'2535 University Ave',1,"'Burgers,Sports Bars,Pool Halls'"
229,'Louisianne’s',(608) 831-1929,'7464 Hubbard Ave',1,"'Cajun/Creole,Seafood'"
230,'Shamrock Bar & Grille',(608) 259-8480,'117 W Main St',1,"'American (Traditional),Gay Bars'"
231,'Thai Noodles',(608) 270-9527,'5957 Mckee Rd',1,"'Thai,Noodles'"
232,'Curry in the Box',(608) 238-1900,'3519 University Ave',1,"'Indian,Thai'"
233,'Fuji Sushi & Hibachi',(608) 827-8898,'1610 Deming Way',1,"'Sushi Bars,Japanese'"
234,'Barriques',(608) 819-6787,'961 S Park St',1,"'Coffee & Tea,Cafes'"
235,'Los Gemelos',(608) 467-6999,'244 W Gilman St',1,'Mexican'
236,'Hy-Vee',(608) 273-5120,'2920 Fitchrona Rd',1,"'Grocery,Department Stores,American (New)'"
237,'Sujeo',(608) 630-9400,'10 N Livingston St',1,"'Korean,Asian Fusion,Noodles'"
238,'Noosh',(608) 216-4511,'1431 Regent St',1,'Middle Eastern'
239,'Harvest Restaurant',(608) 255-6075,'21 N Pinckney St',1,"'American (New),Bars'"
240,'Roman Candle Pizzeria',(608) 258-2000,'1054 Williamson St',1,"'Pizza,Italian'"
241,'La Concha',(608) 276-9263,'3054 Fish Hatchery Rd',1,"'Bakeries,Mexican,Delis'"
242,'Ziggy’s BBQ Smokehouse & Ice Cream Parlor',(608) 291-0915,'135 S Main St',1,"'Barbeque,Ice Cream & Frozen Yogurt,Smokehouse'"
243,'Anna’s Pizzeria',(608) 825-2660,'1609 W Main St',1,'Pizza'
244,'Boar & Barrel',(608) 285-5651,'101 N Hamilton St',1,"'Wine Bars,Whiskey Bars,Tapas Bars'"
245,'Tuvalu Coffehouse & Gallery',(608) 845-6800,'300 S Main St',1,"'Arts & Crafts,Sandwiches,Coffee & Tea'"
246,'Draft House Bar & Restaurant',(608) 848-3158,'1010 Enterprise Dr',1,"'American (Traditional),Sports Bars'"
247,'Muramoto Downtown',(608) 255-4343,'108 King St',1,"'Sushi Bars,Asian Fusion,Cocktail Bars'"
248,'Mediterranean Hookah Lounge and Cafe',(608) 251-7733,'77 Sirloin Strip',1,"'Lounges,Mediterranean,Hookah Bars'"
249,'Burrito Drive',(608) 260-8586,'310 S Brearly St',1,"'Mexican,Tex-Mex'"
250,'Chipotle Mexican Grill',(608) 250-4613,'658 State St',1,"'Mexican,Fast Food'"
251,'Erin’s Snug Irish Pub',(608) 242-7616,'4601 American Pkwy',1,"'Irish,Irish Pub,Venues & Event Spaces'"
252,'Nick’s Restaurant',(608) 255-5450,'226 State St',1,"'Bars,Greek'"
253,'McFarland House Cafe',(608) 838-4100,'5923 Exchange St',1,"'Coffee & Tea,Ice Cream & Frozen Yogurt,Breakfast & Brunch'"
254,'Sa-Bai Thong',(608) 238-3100,'2840 University Ave',1,'Thai'
255,'Rosati’s Pizza',(608) 833-9300,'6644 Mineral Point Rd',1,"'Pizza,Italian'"
256,'Bierock',(608) 515-8087,'2911 N Sherman Ave',2,''
257,'Buck’s Pizza',(608) 222-8011,'219 Cottage Grove Rd',1,'Pizza'
258,'Great Dane Pub & Brewing',(608) 661-9400,'357 Price Pl',1,"'American (Traditional),Breweries,Bars'"
259,'Essen Haus',(608) 255-4674,'514 E Wilson St',1,"'German,Bars,Music Venues'"
260,'Vientiane Palace Restaurant',(608) 255-2848,'151 W Gorham St',1,"'Thai,Vegan,Vegetarian'"
261,'Nile Restaurant',(608) 274-1788,'6119 Odana Rd',1,"'Mediterranean,Diners,Egyptian'"
262,'Lao Laan-Xang',(608) 819-0140,'2098 Atwood Ave',1,"'Thai,Laotian'"
263,'Dobhan’s Kitchen',(608) 242-4448,'2110 Atwood Ave',1,"'Himalayan/Nepalese,Breakfast & Brunch'"
264,'Madison’s',(608) 229-0900,'119 King St',1,"'American (New),Lounges'"
265,'The Flying Hound Alehouse',(608) 310-4422,'6317 McKee Rd',1,"'American (New),Beer, Wine & Spirits'"
266,'Teddywedgers',(608) 230-5360,'101 State St',1,"'Cafes,Bakeries'"
