Address,CostRange,Cuisine,Name,PhoneNumber,ZipCode
"2425 Atwood Ave, Madison",3,"Italian,Mediterranean",Bunky's Cafe,(608) 204-7004,53704
"702 N Midvale Blvd, Madison",1,"Asian,Chinese",Dumpling Haus,(608) 661-4287,53705
"2535 University Ave, Madison",1,"Burger,Sandwich",Blue Moon Bar & Grill,(608) 233-0441,53705
"219 E Main St, Mt Horeb",2,"Breakfast,Coffee and Tea,Desserts",Sjolinds Chocolate House,(608) 437-0233,53572
"546 N Midvale Blvd, Madison",3,"Japanese,Sushi",Sushi Muramoto,(608) 441-1090,53705
"6405 Mineral Pt Rd, Madison",3,"Mediterranean,Seafood,Steak",Otto's Restaurant & Bar,(608) 274-4044,53705
"638 State St, Madison",1,"Breakfast,Sandwich,Vegetarian",Sunroom Cafe,(608) 255-1555,53703
"128 E Wilson St, Madison",3,Italian,Osteria Papavero,(608) 255-8376,53703
"151 W Gorham St, Madison",1,Thai,Vientiane Palace,(608) 255-2848,53703
"7464 Hubbard Ave, Middleton",4,Cajun,Louisianne's Etc,(608) 831-1929,53562
3050 Cahill Main Ste 4,1,"Indian,Thai",Curry in The Box,(608) 273-9100,53711
"6802 Odana Rd, Madison",2,"Asian,Thai,Vegetarian",Sa-Bai Thong,(608) 828-9565,53719
"1511 Monroe St, Madison",1,Breakfast,Mickies Dairy Bar,(608) 256-9476,53711
357 Price Pl,2,"American,Breakfast,Bar Food",Great Dane,(608) 661-9400,53705
"20 W. Mifflin, Madison",2,"Breakfast,Burger,Bar Food",Cooper's Tavern,(608) 256-1600,53703
5801 Monona Drive,2,"American,Italian,Pizza",Angelo's,(608) 222-1464,53716
"540 State St, Madison",2,"Middle Eastern,Afghan",Kabul Afghanistan Restaurant,(608) 256-6322,53703
"2310 Packers Ave, Madison",2,BBQ,Smoky Jon's #1 BBQ,(608) 249-7427,53704
"6261 Nesbitt Rd, Fitchburg",3,"American,European,Steak",Quivey's Grove,(608) 273-4900,53719
"503 W. Main St., Sun Prairie",1,"European,Italian,Pizza",Salvatore's Tomato Pies,(608) 318-1761,53590
"240 W Gilman St, Madison",4,"Brazilian,Steak",Samba Brazilian Grill,(608) 257-1111,53703
"7445 Hubbard Ave, Middleton",1,"Breakfast,Desserts,Diner",Hubbard Avenue Diner,(608) 831-6800,53562
2601 West Beltline Hwy,3,American,Bonfyre American Grille,(608) 273-3973,53713
601 Junction Road,3,Tapas,Eno Vino Wine Bar & Bistro,(608) 664-9565,53717
100 State Street,1,Pizza,Ian's Pizza on State,(608) 257-9248,53703
1805 Monroe Street,2,Pizza,Pizza Brutta,(608) 257-2120,53711
"1353 Williamson St., Madison",2,"Asian,Thai,Vietnamese",Ha Long Bay,(608) 255-2868,53703
23 North Pinckney Street,2,"American,Breakfast,Burger",The Old Fashioned,(608) 310-4545,53703
123 East Doty Street,2,"American,Burger,Bar Food",The Great Dane,(608) 284-0000,53703
"1201 Williamson St, Madison",2,Bar Food,Weary Traveler Freehouse,(608) 442-6207,53703
"5957 Mckee Rd, Fitchburg",2,"Thai,Vietnamese",Thai Noodles,(608) 270-9527,53719
319 North Frances Street,1,"Desserts,Pizza",Ian's Pizza by the Slice,(608) 257-9248,53703
"1358 Williamson St, Madison",1,Breakfast,Lazy Jane's Cafe & Bakery,(608) 257-5263,53703
1970 Atwood Avenue,2,Vegetarian,The Green Owl Cafe,(608) 285-5290,53704
"1054 Williamson St Ste A, Madison",2,"Desserts,Pizza",The Roman Candle,(608) 258-2000,53703
"600 Williamson Street., Ste M",2,"Indonesian,Thai,Vegetarian",Bandung,(608) 255-6910,53703
"2827 Atwood Dr., Madison",1,"Breakfast,Burger,Sandwich",Daisy Cafe and Cupcakery,(608) 241-2200,53704
2980 Cahill Main,1,American,The Great Dane,(608) 442-9000,53711
"6644 Odana Road, Madison",2,Mexican,La Mestiza,(608) 826-0178,53719
"1 South Pinckney Street, Madison",4,"American,European,French",L'Etoile Restaurant,(608) 251-0500,53703
"1305 Regent Street, Madison",1,"Bakery,Donuts",Greenbush Bakery,(608) 257-1151,53715
1026 North Sherman Avenue,2,"Italian,Pizza",Cafe LA Belli Italia,(608) 243-1200,53704
"7424 Mineral Point Rd, Madison",1,"Breakfast,Coffee and Tea",La Baguette,(608) 827-6775,53717
"6119 Odana Road, Madison",2,"Mediterranean,Middle Eastern",The Nile,(608) 274-1788,53719
"971 N Page St, Stoughton",1,Pizza,Famous Yeti's Pizza,(608) 877-1544,53589
"1 South Pinckney Street, Capitol Square",3,"American,Breakfast,Bar Food",Graze,(608) 251-2700,53703
"1980 Atwood Ave., Madison",1,"American,Bar Food",Alchemy,(608) 204-7644,53704
"36 S Fair Oaks Ave, Madison",1,Thai,Sala Thai,(608) 246-1889,53714
"317 N Frances St, Madison",1,"American,Burger",Dotty Dumpling's Dowry,(608) 259-0000,53703
2089 Atwood Avenue,1,Diner,Monty's Blue Plate Diner,(608) 244-8505,53704
"118 S Pinckney St, Madison",2,"Breakfast,Sandwich",Marigold Kitchen,(608) 661-5559,53703
"116 S Hamilton St, Madison",4,Steak,Tornado Steak House,(608) 256-3570,53703
611 North Sherman Avenue,3,Bakery,Manna Cafe & Bakery,(608) 663-5500,53704
1828 Parmenter Street,3,"Italian,Pizza",Villa Dolce Cafe,(608) 833-0033,53562
"2500 University Ave, Madison",3,Italian,Lombardino's Restaurant,(608) 238-1922,53705
"707 N High Point Rd, Madison",2,"Asian,Indian",Swagat Restaurant,(608) 836-9399,53717
2916 Atwood Avenue,2,Pizza,Glass Nickel Pizza,(608) 245-0880,53704
"914 Regent St, Madison",2,"Italian,Pizza",Greenbush Bar,(608) 257-2874,53715
"5518 University Ave, Madison",1,Breakfast,Original Pancake House,(608) 231-3666,53705
1033 South Park Street,1,Mexican,Taqueria Guadalajara,,53715
"617 Williamson St, Madison",3,"Breakfast,French",Sardine,(608) 441-1600,53703
1923 Monroe Street,3,"European,French",Brasserie V,(608) 255-8500,53711
"316 West Washington Avenue, Suite 100, Madison, Wisconsin.",2,"Asian,Japanese,Sushi",Red,(608) 294-1234,53703
"211 King St, Madison",2,"Dim Sum,Pizza",Natt Spil,,53703
"6754 Odana Rd, Madison",1,Vietnamese,Saigon Noodle,(608) 827-9120,53719
940 Williamson Street,3,"Mediterranean,Tapas",Pig in a Fur Coat,(608) 316-3300,53703
"2098 Atwood Ave, Madison",2,"Asian,Thai,Vegetarian",Lao Laan Xang Restaurant,(608) 819-0140,53704
"751 N High Point Rd, Madison",2,"Italian,Turkish",Oliva,(608) 831-7776,53717
"2229 S. Stoughton Rd., Madison",1,Mexican,Habanero's Mexican Grill,(608) 223-9222,53716
"125 South Main Street, Ste 1",1,"Coffee and Tea,Tea",The Sow's Ear,(608) 848-2755,53593
"509 W Main St, Waunakee",1,"Coffee and Tea,Desserts,Sandwich",M&M Coffee House,(608) 850-3665,53597
"7 W Main St, Madison",2,"Bar Food,Irish",Brocach Irish Pub,(608) 255-2015,53703
"131 W Wilson St, Madison",2,"Italian,Pizza",Paisan's,(608) 257-3832,53703
"2951 Triverton Pike, Fitchburg",3,Cajun,Liliana's Restaurant,(608) 442-4444,53711
"694 S Whitney Way, Madison",1,Mexican,Laredo's,(608) 278-0585,53711
"102 King St, Madison",1,"American,Burger",Tipsy Cow,(608) 287-1455,53703
"105 S 2nd St, Mt Horeb",2,"Pizza,Bar Food,Sandwich",Grumpy Troll Pub & Brewery,(608) 437-2739,53572
117 Martin Luther King Jr Boulevard,2,"Breakfast,Burger,Sandwich",Dlux,(608) 467-3130,53703
"923 Williamson St., Madison",1,"Asian,Japanese",Umami Ramen & Dumpling Bar,(608) 819-6319,53703
"517 State St., Madison",1,Fast Food,Five Guys Burgers and Fries,(608) 255-2520,53703
"380 West Washington Avenue, Madison, Madison",2,Indian,Maharani Indian Restaurant,(608) 251-9999,53703
5003 University Avenue Ste 170,2,"Pizza,Sandwich",Glass Nickel Pizza Co. - Madison West,(608) 218-9000,53705
"110 Market St, Sun Prairie",2,Diner,Market Street Diner & Bakery,(608) 825-3377,53590
"600 Williamson St, Madison",1,"Asian,Chinese",Wah Kee Chinese Noodle Restaurant,(608) 255-5580,53703
"7462 Hubbard Ave, Middleton",3,Italian,Vin Santo,(608) 836-1880,53562
"449 State St Ste 2G, Madison",2,"Japanese,Sushi",Wasabi Japanese Restaurant,(608) 255-5020,53703
"4222 E Towne Blvd, Madison",3,"Japanese,Sushi",Takumi Japanese Restaurant,(608) 663-3899,53704
"2611 Monroe St, Madison",2,European,Jacs,(608) 441-5444,53711
"1146 Williamson St, Madison",2,"Thai,Vegetarian",Lao Laan-Xang Restaurant,(608) 280-0104,53703
5371 Old Middleton Road,2,"American,Burger",Oakcrest Tavern,(608) 233-1243,53705
"142 Market Street, Deforest",1,Mexican,Aranda's,(608) 842-0683,53532
"14 E. Sherman Ave., Fort Atkinson",1,"American,Bar Food",Paddy Coughlin's Pub,(920) 397-7776,53538
"1609 W Main St, Sun Prairie",2,Pizza,Anna's Pizzeria,(608) 825-2660,53590
"355 E Main St, Stoughton",1,"American,Breakfast,Diner",Koffee Kup,(608) 873-6717,53589
"5923 Exchange St., McFarland",1,"Coffee and Tea,Desserts,Sandwich",McFarland House Cafe,(608) 838-4100,53558
"134 S Main St, Oregon",2,Pizza,Maria's Pizza,(608) 835-5455,53575
"674 S Whitney Way, Madison",2,"American,Burger,Bar Food",Vintage Brewing Co.,(608) 204-2739,53711
"318 State St, Madison",2,"Indian,International,Vegetarian",Himal Chuli,(608) 251-9225,53703
2862 University Avenue,2,"American,Breakfast",La Brioche Bakery,(608) 233-3388,53705
"744 Williamson St, Madison",3,"BBQ,Southwestern,Tex-Mex",Eldorado Grill,(608) 280-9378,53703
"238 E Main St, Sun Prairie",1,"Burger,Bar Food",Eddie's Alehouse & Eatery,(608) 825-1515,53590
"1225 Regent St, Madison",1,"Breakfast,Coffee and Tea",Indie Coffee,(608) 259-9621,53715
"3717 S Dutch Mill Rd, Madison",3,"Seafood,Steak",Toby's Supper Club,(608) 222-6913,53718
"2810 E Washington Ave, Madison",1,"Mediterranean,Middle Eastern",Peoples Bakery,(608) 245-0404,53704
"2110 Atwood Ave, Madison",2,International,Dobhan Restaurant,(608) 242-4448,53704
"2906 W Beltline Hwy, Middleton",1,"American,Burger,Desserts",Culver's,(608) 836-5577,53562
"7610 Donna Dr, Middleton",1,"Desserts,German",Clasen's European Bakery,(608) 831-2032,53562
"801 N Main St, Lodi",1,"Asian,Chinese",King Wok,(608) 592-5500,53555
"944 Williamson St, Madison",1,"Thai,Vegetarian",Bahn Thai Restaurant,(608) 256-0202,53703
"600 W Verona Ave, Verona",2,Chinese,Dragon City Chinese Restaurant,(608) 848-3398,53593
"831 E Johnson St, Madison",1,Breakfast,Sophia's Bakery & Cafe,(608) 259-1506,53703
"721 N High Point Rd, Madison",2,Korean,New Seoul Korean Restaurant,(608) 829-3331,53717
"638 S. Whitney Way, Madison",1,"Chinese,Japanese,Korean",Tai's Asian Bistro,(608) 661-8889,53711
6601 Traveler Trail,2,Italian,Papino's,(608) 846-9090,53598
"246 N. Century Ave., Waunakee",1,Pizza,Doughboys Pizza,(608) 850-4960,53597
"1330 Regent St, Madison",1,Bar Food,Jordan's Big Ten Pub,(608) 251-6375,53715
232 State Street At Johnson,1,"Asian,Mediterranean",Noodles & Company,(608) 257-6393,53703
"2227 Parmenter St, Middleton",1,"Breakfast,Diner",Three Sisters' Inn,(608) 831-3773,53562
"617 State St, Madison",1,"Asian,Thai",Rising Sons,(608) 661-4334,53703
"1131 Janesville Ave, Fort Atkinson",3,American,Fireside Dinner Theatre,(800) 477-9505,53538
"1303 W. Main St., Sun Prairie",2,Mexican,El Patron,(608) 837-6186,53590
"401 State St, Madison",1,Beverages,Jamba Juice,(608) 255-5904,53703
"410 E Wilson St, Madison",1,"American,Breakfast,Greek",Plaka Taverna,(608) 251-4455,53703
"1707 Thierer Rd, Madison",2,"Indian,Vegetarian",Maharana,(608) 246-8525,53704
"120 E Wilson St, Madison",3,Seafood,Tempest Oyster Bar,(608) 258-1443,53703
"2 S Mills St, Madison",2,"Asian,Chinese",Hong Kong Cafe,(608) 259-1668,53715
"1902 Parmenter Street, Middleton",1,American,The Free House Pub,(608) 831-5000,53562
"2105 Sherman Ave, Madison",1,"Mediterranean,Middle Eastern",Banzo,(608) 441-2002,53704
"4124 Monona Dr, Madison",1,"Breakfast,Coffee and Tea",Crema Cafe,(608) 224-1150,53716
"2004 Atwood Ave, Madison",1,"Breakfast,Desserts",Chocolaterian,(608) 249-1156,53704
"5401 W Beltline Hwy, Madison",1,"American,Mediterranean",Copper Top Restaurant,(608) 271-4588,53711
"2701 Atwood Ave, Madison",1,"Burger,Sandwich",Stalzy's Deli,(608) 249-7806,53704
"712 S Whitney Way, Madison",1,Seafood,Seafood Center,(608) 274-5255,53711
"518 1ST St, New Glarus",2,"American,European",Glarner Stube,(608) 527-2216,53574
"2602 Whalen Ln, Madison",1,"American,Burger,Bar Food",Alt 'N' Bachs Town Tap,(608) 271-9955,53713
"1010 Enterprise Dr, Verona",1,"American,Burger,Sandwich",Draft House Bar & Restaurant,(608) 848-3158,53593
"6509 Century Ave, Middleton",1,"Italian,Sandwich",Gino's Italian Deli,(608) 827-0999,53562
"5420 Willow Road, Waunakee",1,"American,Greek,Mediterranean",Athens Gyros,(608) 249-6720,53597
"1920 Fordem Ave, Madison",1,Cajun,New Orleans Take Out Restaurant,(608) 241-6655,53704
"6207 Monona Dr, Monona",2,"BBQ,Cajun",Fat Jacks Barbecue,(608) 221-4220,53716
"1901 Cayuga St, Middleton",2,"Asian,Korean,Vegetarian",K-Peppers,(608) 833-3189,53562
"916 Williamson St, Madison",2,"Breakfast,Coffee and Tea",Madison Sourdough Company,(608) 442-8009,53703
"8333 Greenway Blvd, Ste 100, Middleton",2,Indian,Dhaba Indian Bistro,(608) 203-8822,53562
"355 E Linnerud Dr, Sun Prairie",1,"Pizza,Sandwich",Day One Pizza,(608) 837-1818,53590
"114 N Main St, Oregon",1,"Coffee and Tea,Sandwich",Firefly Coffeehouse,(608) 835-6238,53575
"407 W Main St, Mount Horeb",1,Mexican,Aztlan Mexican Grill,(608) 437-7600,53572
"704 S Whitney Way, Madison",2,Italian,Nonno's Ristorante Italiano,(608) 661-9254,53711
"1336 Regent St, Madison",2,"Asian,Chinese,Vietnamese",Nam's Noodle and Karaoke Bar,(608) 287-0475,53715
"101 E Main St, Mt Horeb",3,"American,Mediterranean",Bistro 101,(608) 437-9463,53572
"614 N Fair Oaks Ave, Madison",1,"American,Burger,Bar Food",Brothers Three Bar & Grill,(608) 244-6818,53714
"6720 Frank Lloyd Wright Ave, Middleton",1,"Breakfast,Coffee and Tea",Prairie Cafe & Bakery,(608) 827-2437,53562
"2685 Research Park Drive, Fitchburg",2,Pizza,The Roman Candle,(608) 278-1111,53711
"121 E Main St, Madison",1,Mexican,Francisco's Cantina,(608) 294-1100,53703
1605 Linden Drive,1,"Desserts,Sandwich",Babcock Hall Dairy Store,(608) 262-3045,53706
"7457 Elmwood Ave, Middleton",2,"European,Mediterranean,Eastern European",Sofra Family Bistro,(608) 836-6614,53562
"610 Junction Rd, Madison",2,"Asian,Chinese",HuHot Mongolian Grill,(608) 827-7110,53717
"127 W Washington Ave, Madison",1,"Coffee and Tea,Sandwich",Barriques Coffee,(608) 268-6264,53703
411 West Gilman Street,2,Asian,Fugu Asian Fusion,,53703
"127 N Hamilton St., Madison",1,"Breakfast,Coffee and Tea",Bradbury's,(608) 204-0474,53703
658 State Street,1,"Fast Food,Mexican",Chipotle Mexican Grill,(608) 250-4613,53703
"610 Junction Rd Suite 109, Madison",1,"Vegetarian,Vietnamese",Pho Nam,(608) 836-7040,53717
"218 S Main St, Cottage Grove",1,"Breakfast,Coffee and Tea",Olde Town Coffee House,(608) 839-5394,53527
"113 W Lake St, Lake Mills",2,Chinese,Ming's Garden,(920) 648-6350,53551
"2623 Monroe St, Ste 150, Madison",2,Indian,Taste of India,(608) 218-9200,53711
"113 S Main St, Oregon",2,Mexican,Senor Peppers,(608) 835-7930,53575
"320 N Randall Ave, Madison",1,American,The Library,(608) 251-1200,53715
"208 Madison Ave, Fort Atkinson",1,Desserts,Frostie Freeze,(920) 563-8180,53538
"8452 Old Sauk Road, Madison",1,"Italian,Pizza",Novanta,(608) 831-7740,53717
"604 E Main, Waunakee",1,"Desserts,Italian,Pizza",Zoe's Pizzeria,(608) 849-7900,53597
"350 N. Century, Waunakee",2,Mexican,Cuco's,(608) 850-6180,53597
"439 W Cottage Grove Rd, Cottage Grove",1,Chinese,Xiang Jiang,(608) 839-1666,53527
"524 W Main St, Stoughton",1,Mexican,Rio Grande,(608) 877-0160,53589
"2259 Deming Way, Middleton",1,"American,Burger,Steak",Quaker Steak & Lube,(608) 831-5823,53562
"408 West Gorham St., Madison",2,"American,BBQ",Brickhouse BBQ,(608) 257-7675,53703
121 South Pinckney Street,3,International,Merchant,(608) 259-9799,53703
2137 Deming Way,4,"American,Seafood,Steak",Ruth's Chris Steak House - Middleton,(608) 828-7884,53562
"3140 Edmonton Drive Suite 100, Sun Prairie",1,"Breakfast,Coffee and Tea,Sandwich",What's Brew'N,(608) 834-0263,53590
"3918 Monona Dr, Madison",1,Coffee and Tea,Java Cat,(608) 223-5553,53716
"1402 Williamson St, Madison",1,Coffee and Tea,Batch Bakehouse,(608) 257-1652,53703
"117 S Main St, Lake Mills",2,Pizza,Blue Moon,(920) 648-3405,53551
8931 County Road Y,3,German,Dorf Haus Supper Club,(608) 643-3980,53583
"1221 Ann St, Madison",1,"American,Breakfast,Diner",Parkway Family Restaurant,(608) 255-2355,53713
"7508 Hubbard Ave, Middleton",1,"Burger,Sandwich",Village Green Bar & Grill,(608) 831-9962,53562
"1524 Williamson St, Madison",1,"Breakfast,Burger,Sandwich",Mickey's Tavern,(608) 251-9964,53703
"2947 University Ave., Madison",1,Sandwich,Bagels Forever,(608) 231-2427,53705
"3606 Corben Ct, Madison",1,Breakfast,Jet Room Pat O'Malley's,(608) 268-5010,53704
"2201 Atwood Ave, Madison",1,"Burger,Pizza,Vegetarian",Harmony Bar & Grill,(608) 249-4333,53704
"550 Water St, Prairie Du Sac",1,"Breakfast,Sandwich",Blue Spoon Cafe,(608) 643-0837,53578
"494 Commerce Dr, Madison",1,"Breakfast,Coffee and Tea,Sandwich",Yola's Cafe,(608) 827-5800,53719
"6718 Odana Rd, Madison",2,"Asian,Chinese,Sushi",VIP Asian Cuisine,(608) 831-5555,53719
"100 East Main St, Madison",1,"BBQ,Sandwich",Blowin' Smoke,(608) 215-0069,53703
"1309 S Park St, Madison",1,"Coffee and Tea,Sandwich",Cargo Coffee,(608) 268-0597,53715
"402 W Lakeside St, Madison",1,"Breakfast,Coffee and Tea,Sandwich",Lakeside Street Coffee House,(608) 441-7599,53715
204 South Century Avenue A6,2,Chinese,China Wok Chinese Restaurant,(608) 849-9638,53597
"226 S Main St, Fort Atkinson",2,Italian,Mangiami Italiano,(920) 397-7790,53538
"410 w verona ave, Verona",2,"American,Sandwich,Steak",Klassik Tavern,(608) 845-6471,53593
"915 Atlas Ave, Madison",1,"American,Breakfast",Cottage Cafe,(608) 221-4815,53714
6816 Odana Road,3,"American,International,Vegetarian",The Melting Pot of Madison,(608) 833-5676,53719
804 Liberty Boulevard,3,"American,International",Buck & Honey’s,(608) 837-3131,53590
"515 S Park St, Madison",1,Mexican,La Hacienda Restaurant,(608) 255-8227,53715
"108 Owen Rd, Monona",1,"Italian,Sandwich",Fraboni's Italian Specialties,(608) 222-6632,53716
"653 S Park St, Madison",1,"American,Breakfast,Diner",The Curve,(608) 251-0311,53715
"W6630 County Road B, Lake Mills",1,"Burger,Bar Food,Seafood",Aztalan Inn Bar & Grill,(920) 648-3206,53551
"1236 Williamson St, Madison",2,Caribbean,Jamerica Restaurant,(608) 251-6234,53703
"3801 Mineral Point Rd, Madison",1,"Burger,Sandwich",Village Bar,(608) 233-9956,53705
"6317 McKee Rd, Fitchburg",2,"Burger,Bar Food",The Flying Hound Alehouse,(608) 310-4422,53719
"604 W Verona Ave, Verona",3,,Craig's Cake Shop,(608) 848-6331,53593
"8164 US Hwy 14, Arena",2,BBQ,Bob's BBQ Emporium,(608) 807-8287,53503
"1213 Business 18 And 151 E, Mount Horeb",2,Pizza,Great Scott's Pizza,(608) 437-9171,53572
"100 madison avenue, Fort Atkinson",1,"American,Mexican,Vegetarian",El Patron,(920) 568-5817,53538
"132 W Main St, Marshall",1,Mexican,Pablo's Tacos,(608) 655-1309,53559
"149 Waubesa Street, Madison",1,"Sandwich,American",Ironworks Cafe,(608) 241-1574,53704
"554 W Main St, Madison",1,"Pizza,Sandwich",Echo Tap & Grill,(608) 256-6928,53703
"716 Cottage Grove Rd, Madison",1,"Breakfast,Diner",Dairyland Family Restaurant,(608) 222-9232,53716
21 North Pinckney Street,3,"American,French,Italian",Harvest Restaurant,(608) 255-6075,53703
"130 S Pinckney St, Madison",4,"Seafood,Steak",Johnny Delmonico's,(608) 257-8325,53703
"112 East Mifflin Street, Madison",1,"Deli,Sandwich",Gotham New York Bagels & Eats,(608) 467-7642,53703
"532 S Park St, Madison",2,"Japanese,Sushi",EDO Japanese Restaurant,(608) 268-0247,53715
"1851 Monroe St, Madison",1,Southwestern,Pasqual's,(608) 238-4419,53711
"2949 Triverton Pike Drive, Fitchburg",2,Italian,Benvenuto's Italian Grill,(608) 278-7800,53711
310 South Brearly Street,1,"Mexican,Tex-Mex",Burrito Drive,(608) 260-8586,53703
"449 Grand Canyon Dr, Madison",4,"Steak,Irish",Delaney's Charcoal Steaks,(608) 833-7337,53719
"4841 Annamark Drive, Madison",2,"American,BBQ,Steak",Texas Roadhouse,(608) 244-9486,53704
"116 King St, Madison",1,"Sushi,Tapas",Opus Lounge,(608) 441-6787,53703
750 North Midvale Boulevard,4,Steak,Fleming's Prime Steakhouse & Wine Bar,(608) 233-9550,53705
"4833 Annamark Dr, Madison",1,Fast Food,Dickey's Barbecue Pit,(608) 249-4205,53704
2010 South Park Street,1,Mexican,El Pastor Mexican Restaurant,(608) 280-8898,53713
"5602 Schroeder Rd, Madison",2,Desserts,Michael's Frozen Custard,(608) 276-8100,53711
"675 Park Ave, Columbus",1,Diner,Appletree Family Restaurant,(920) 623-4518,53925
134 East Lake Street,1,"Desserts,Pizza,Sandwich",Timber Creek Pizza Co,(920) 648-4277,53551
"1910 Main St, Cross Plains",2,Pizza,Tano's Pizza,(608) 798-0320,53528
"834 Water St., Sauk City",1,Mexican,La Mexicana,(608) 643-7007,53583
5813 Main Street,1,"Burger,Pizza,Sandwich",Spartan Pizza,(608) 838-8511,53558
"207 Milwaukee Ave E, Fort Atkinson",1,"Coffee and Tea,Sandwich",Beauty & The Bean,(920) 563-4938,53538
2405 Allen Boulevard,1,Bar Food,Mid Town Pub,(608) 826-5129,53562
"108 W Fulton St, Edgerton",1,Chinese,Dragon,(608) 884-3101,53534
"1245 Madison Ave, Fort Atkinson",1,"Italian,Pizza",Salamone's Italian Pizzeria,(920) 563-9217,53538
"2505 Monroe St, Madison",1,"American,Bar Food",Laurel Tavern,(608) 233-1043,53711
"101 State St, Madison",1,"Breakfast,Fast Food",Teddywedgers,(608) 230-5360,53703
"2935 S Fish Hatchery Rd, Fitchburg",1,"Breakfast,Sandwich",Rolling Pin Bake Shop,(608) 270-9611,53711
"2739 University Ave, Madison",1,BBQ,Wings Over Madison,(608) 467-3300,53705
"6714 Raymond Rd, Madison",1,Thai,Thai Basil,(608) 273-8890,53719
"636 State St, Madison",1,"Burger,Bar Food",City Bar,(608) 250-2489,53703
"710 South Gammon Road, Madison",1,"Latin American,Mexican",La Bamba,(608) 277-9522,53719
418 South Gammon Road,3,"Sandwich,Steak",LongHorn Steakhouse,(608) 836-1830,53719
"301 Parkview Dr, Milton",1,"Italian,Pizza",Georgio's Pizza,(608) 868-4872,53563
"107 N Ludington St, Columbus",1,Chinese,China King,(920) 623-0113,53925
"603 State St, Madison",1,"German,Bar Food",State Street Brats,(608) 255-5544,53703
"8390 Market St, Middleton",3,"Italian,Steak",Johnny's Italian Steakhouse,(608) 831-3705,53562
"131 East Mifflin Street, Madison",4,American,Heritage Tavern,(608) 283-9500,53703
"12 S Carroll St, Madison",1,"American,French,Sandwich",Fromagination,(608) 255-2430,53703
4601 American Parkway,3,"Bar Food,Irish",Erin's Snug Irish Pub and Restaurant,(608) 242-7616,53718
"1351 Williamson St, Madison",1,"Breakfast,Coffee and Tea",Willalby's Cafe,(608) 259-9032,53703
279 Junction Road,3,Steak,Outback Steakhouse,(608) 829-0505,53717
"2691 Windsor St, Sun Prairie",1,Mexican,Burrachos,(608) 837-2611,53590
"124 N Main Street, Fort Atkinson",2,"American,Breakfast",Scottie's Eat-Mor,(920) 563-2900,53538
"419 E Main St, Stoughton",2,French,Laz Bistro & Bar,(608) 873-3808,53589
"120 E.Main Street, Sun Prairie",1,Chinese,House Of Mei,(608) 318-1899,53590
"111 River Pl, Monona",1,Chinese,China Star,(608) 661-3920,53716
"1250 E Washington Ave, Madison",1,Coffee and Tea,Etes-Vous Prets EVP Coffee house,(608) 294-6868,53703
"221 Us-51, Poynette",1,"American,BBQ,Pizza",Spanky's Pizzeria,(608) 635-3988,53955
15 North Butler Street,3,Italian,Naples 15,(608) 250-6330,53703
"626 S. Park St, Madison",1,Chinese,New Orient House,(608) 250-8880,53715
"608 W Verona Ave Ste A, Verona",2,"Breakfast,Bar Food",Monte's Grill & Pub,(608) 845-9669,53593
"744 Williamson St Ste 1, Madison",1,Coffee and Tea,Ground Zero,(608) 294-8668,53703
"1256 S Park St, Madison",2,Indian,Taj Indian Restaurant,(608) 268-0772,53715
