Name,PhoneNumber,Address,CostRange,Cuisine
The Village Green Bar & Grill,(608) 831-9962,7508 Hubbard Ave,1,"Bars,American (Traditional)"
Gino’s Italian Deli,(608) 273-1981,4606 Verona Rd,1,"Delis,Italian"
New Orleans Take-Out,(608) 280-8000,1517 Monroe St,1,Cajun/Creole
Smoky Jon’s No 1 BBQ,(608) 571-2305,2310 Packers Ave,1,Barbeque
Monona Bakery and Eatery,(608) 720-1133,4544 Monona Dr,1,"Breakfast & Brunch,Bakeries,Latin American"
Chocolaterian,(608) 836-1156,6637 University Ave,1,"Desserts,Cafes,Breakfast & Brunch"
Nonno’s Ristorante Italiano,(608) 661-9254,704 S Whitney Way,1,Italian
Madistan,(608) 422-5422,317 N Bassett St,1,"Mediterranean,Pakistani,Halal"
Canteen,(608) 285-5703,111 S Hamilton St,1,"Tacos,Cocktail Bars"
Poke Poke,(608) 665-3306,600 Williamson St,1,"Poke,Salad,Sushi Bars"
Bandung Indonesian Restaurant,(608) 255-6910,600 Williamson St,1,Indonesian
Lucille,(608) 283-0000,101 King St,1,"Pizza,American (New),Lounges"
Mid Town Pub,(608) 826-5129,2405 Allen Blvd,1,"American (Traditional),Sports Bars"
Fresco,(608) 663-7374,227 State St,1,American (New)
Freska Mediterranean Grill,(608) 203-5034,8310 Greenway Blvd,1,Mediterranean
Merchant,(608) 259-9799,121 S Pinckney St,1,"Cocktail Bars,Wine Bars,American (New)"
Sweet Home Wisconsin,(608) 819-6622,910 Regent St,1,"Hot Dogs,Burgers,Sandwiches"
Mint Mark,(608) 285-5096,1929 Winnebago St,1,"Bars,Breakfast & Brunch,American (Traditional)"
Cottage Cafe,(608) 221-4815,915 Atlas Ave,1,"Breakfast & Brunch,Cafes"
The Sow’s Ear,(608) 848-2755,125 S Main St,1,"Arts & Crafts,Art Classes,Cafes"
Ian’s Pizza By The Slice,(608) 257-9248,319 N Frances St,1,Pizza
Forequarter,(608) 609-4717,708 E Johnson,1,"American (New),Breakfast & Brunch,Beer Bar"
Saigon Noodles,(608) 827-9120,6754 Odana Rd,1,"Vietnamese,Noodles"
Madison Chocolate Company,(608) 286-1154,729 Glenway St,1,"Chocolatiers & Shops,Cafes"
Original Pancake House,(608) 231-3666,5518 University Ave,1,Breakfast & Brunch
Graze,(608) 251-2700,1 S Pinckney St,1,American (New)
Mickies Dairy Bar,(608) 256-9476,1511 Monroe St,1,Breakfast & Brunch
Chicken Licks,(608) 837-6721,5508 County Rd N,1,"Chicken Wings,Bars,American (Traditional)"
The Green Owl Cafe,(608) 285-5290,1970 Atwood Ave,1,"Vegetarian,Vegan,Cafes"
Pat O’Malley’s Jet Room,(608) 268-5010,3606 Corben Ct,1,"Diners,Breakfast & Brunch,American (Traditional)"
The Weary Traveler Freehouse,(608) 442-6207,1201 Williamson St,1,"American (New),Burgers"
Bassett Street Brunch Club,(608) 467-5051,444 W Johnson St,1,"Breakfast & Brunch,American (Traditional),Donuts"
Players Sports Bar,(608) 244-9722,2013 Winnebago St,1,"Sports Bars,Breakfast & Brunch,American (Traditional)"
Barriques - Monroe St.,(608) 284-9463,1825 Monroe St,1,"Beer, Wine & Spirits,Coffee & Tea,Cafes"
Pho Nam Noodle House,(608) 836-7040,610 Junction Rd,1,"Vietnamese,Noodles"
Lombardinos Italian Restaurant and Bar,(608) 238-1922,2500 University Ave,1,"Italian,Bars"
Taste of India,(608) 218-9200,2623 Monroe St,1,Indian
Greenbush Bar,(608) 257-2874,914 Regent St,1,"Italian,Pizza"
FreshFin Poké,(608) 665-3683,502 University Ave,2,
The Waypoint Public House,(608) 222-0224,320 W Broadway,1,"American (New),Breakfast & Brunch,Pubs"
Lake Edge Seafood Company,(608) 467-9491,4100 Monona Dr,1,"Seafood Markets,American (Traditional)"
The Cooper’s Tavern,(608) 256-1600,20 W Mifflin St,1,"American (New),Pubs"
Common Pasta,,1 E Main St,1,"Italian,Food Trucks"
Madison Sourdough,(608) 442-8009,916 Williamson St,1,"Bakeries,Breakfast & Brunch,Patisserie/Cake Shop"
Cool Beans Coffee Cafe,(608) 244-8414,1748 Eagan Rd,1,Cafes
Tapatios,(608) 467-7400,2990 Cahill Main,1,Mexican
Beef Butter BBQ,(608) 640-5000,3001 N Sherman Ave,1,Barbeque
Monsoon Siam,(608) 284-9282,2045 Atwood Ave,1,"Thai,Soup,Bars"
HopCat,(608) 807-1361,222 W Gorham St,1,"American (Traditional),Pubs,Beer Bar"
Osteria Papavero,(608) 255-8376,128 E Wilson St,1,Italian
The Tipsy Cow,(608) 287-1455,102 King St,1,"Bars,American (Traditional)"
SoHo Gourmet Cuisines,(608) 960-4011,2990 Cahill Main,1,"Asian Fusion,Caterers"
DLUX,(608) 467-3130,117 Martin Luther King Jr Blvd,1,"Burgers,Cocktail Bars,Breakfast & Brunch"
Everly,(608) 416-5242,2701 Monroe St,1,"American (New),Breakfast & Brunch,Bars"
Cento,(608) 284-9378,122 W Mifflin St,1,"Italian,Breakfast & Brunch,Desserts"
Haldi Masala,(608) 841-1619,7475 Mineral Point Rd,1,Indian
Jordandal Cookhouse,(608) 848-3298,600 W Verona Ave,1,American (Traditional)
Short Stack Eatery,(608) 709-5569,301 W Johnson St,1,Breakfast & Brunch
Sardine,(608) 441-1600,617 Williamson St,1,"French,Breakfast & Brunch,Bars"
Mickey’s Tavern,(608) 251-9964,1524 Williamson St,1,"Pubs,American (New),Pizza"
Ian’s Pizza on State,(608) 257-9248,100 State St,1,Pizza
Habanero’s Mexican Grill,(608) 223-9222,2229 S Stoughton Rd,1,Mexican
Tempest Oyster Bar,(608) 258-1443,120 E Wilson St,1,"Bars,Seafood,Steakhouses"
Brasserie V,(608) 255-8500,1923 Monroe St,1,"Belgian,Brasseries,Sandwiches"
Fair Trade Coffee House,(608) 268-0477,418 State St,1,"Coffee & Tea,Cafes,Sandwiches"
La Mestiza,(608) 826-0178,6644 Odana Rd,1,Mexican
David’s Jamaican Cuisine,(608) 222-8109,5696 Monona Dr,1,Caribbean
The Free House Pub,(608) 831-5000,1902 Parmenter St,1,"Pubs,American (Traditional)"
Liliana’s Restaurant,(608) 442-4444,2951 Triverton Pike,1,"Cajun/Creole,Gluten-Free,Vegetarian"
Blue Agave,(608) 467-7733,117 S Butler St,1,"Mexican,Seafood,Latin American"
M-N-M’s Coffeehouse,(608) 850-3665,509 W Main St,1,"Sandwiches,Coffee & Tea,Ice Cream & Frozen Yogurt"
Taiwan Little Eats,(608) 251-8529,320 State St,1,"Bubble Tea,Taiwanese,Asian Fusion"
Toby’s Supper Club,(608) 222-6913,3717 S Dutch Mill Rd,1,American (Traditional)
Firefly Coffeehouse,(608) 835-6238,114 N Main St,1,"Coffee & Tea,Bakeries,Breakfast & Brunch"
Jade Mountain Tea Company,(608) 316-2789,2611 E Johnson St,1,"Bubble Tea,Taiwanese"
Ha Long Bay,(608) 255-2868,1353 Williamson St,1,"Vietnamese,Thai"
Lazy Jane’s,(608) 257-5263,1358 Williamson St,1,"Bakeries,Breakfast & Brunch,Soup"
Good Food Low Carb Cafe,(608) 630-8400,4674 Cottage Grove Rd,1,"Salad,Soup,Gluten-Free"
Dotty Dumpling’s Dowry,(608) 259-0000,317 N Frances St,1,"Burgers,Vegan,Vegetarian"
Manna Cafe & Bakery,(608) 709-2890,611 N Sherman Ave,1,"Bakeries,Breakfast & Brunch,Cafes"
Monty’s Blue Plate Diner,(608) 244-8505,2089 Atwood Ave,1,"Diners,American (Traditional),Vegetarian"
Estacion Inka,(608) 467-3010,604 University Ave,1,"Peruvian,Sandwiches,Salad"
Forage Kitchen,(608) 286-1455,665 State St,1,"Salad,Juice Bars & Smoothies"
PA’PA’S BBQ,(608) 575-6489,1220 E Broadway,1,"Food Trucks,Barbeque,Caterers"
The Great Dane Pub & Brewing Company,(608) 284-0000,123 E Doty St,1,"American (New),Brewpubs"
Swagat Indian Restaurant,(608) 836-9399,707 N Highpoint Rd,1,Indian
The Seafood Center,(608) 274-5255,712 S Whitney Way,1,Seafood
A La Brasa Mexican Grill,(608) 251-1700,15 N Broom St,1,"Latin American,Steakhouses,Mexican"
Abarrotes El Primo,(608) 318-1246,105 E Main St,1,"Grocery,Tacos"
Ancora Coffee,(608) 255-0285,107 King St,1,"Coffee & Tea,Breakfast & Brunch,Cafes"
Eldorado Grill,(608) 280-9378,744 Williamson St,1,"Tex-Mex,Breakfast & Brunch"
Sugar River Pizza,(608) 497-1800,957 Liberty Dr,1,"Pizza,Sandwiches"
Crema Cafe,(608) 224-1150,4124 Monona Dr,1,"Breakfast & Brunch,Sandwiches,Cafes"
Luang Prabang,,728 State St,1,"Thai,Food Stands"
Amber Indian Cuisine,(608) 824-0324,6913 University Ave,1,"Indian,Buffets"
Compadres Mexican Restaurant,(608) 203-8332,1900 Cayuga St,1,"Bars,Mexican"
Lakeside Street Coffee House,(608) 441-7599,402 W Lakeside St,1,"Coffee & Tea,Bakeries,Sandwiches"
Naples 15,(608) 250-6330,15 N Butler St,1,Italian
Oakcrest Tavern,(608) 233-1243,5371 Old Middleton Rd,1,"American (Traditional),Fish & Chips,Bars"
Ohio Tavern,,224 Ohio Ave,1,"Dive Bars,Tacos,Karaoke"
Jet’s Pizza,(608) 841-1700,2831 Parmenter St,1,Pizza
Barriques Market,(608) 277-9463,5957 McKee Rd,1,"Coffee & Tea,Beer, Wine & Spirits,Cafes"
Oliver’s Public House,(608) 819-8555,2540 University Ave,1,"American (New),Breakfast & Brunch"
The Paradise Lounge,(608) 256-2263,119 W Main St,1,"Dive Bars,American (New)"
The Plaza Tavern,(608) 255-6592,319 N Henry St,1,"Pubs,Burgers"
Fuegos - Steak Tapas Vegan,(608) 229-6920,904 Williamson St,1,"Tapas/Small Plates,Vegan,Steakhouses"
Craftsman Table & Tap,(608) 836-3988,6712 Frank Lloyd Wright Ave,1,"Gastropubs,American (Traditional),Breakfast & Brunch"
Indie Coffee,(608) 259-9621,1225 Regent St,1,Cafes
Eno Vino Wine Bar & Bistro,(608) 664-9565,601 Junction Rd,1,"Wine Bars,American (New)"
Jordan’s Big Ten Pub,(608) 251-6375,1330 Regent St,1,"American (Traditional),Sports Bars,Pubs"
Tornado Steak House,(608) 256-3570,116 S Hamilton St,1,"Steakhouses,Bars,Seafood"
Palenque Mexican Bar & Grill,(608) 838-1933,5906 Hwy 51,1,Mexican
El Rancho Mexican Grill,(608) 284-9702,819 S Park St,1,Mexican
Morris Ramen,(608) 416-5547,106 King St,1,Ramen
La Nopalera,(608) 467-3577,5606 Schroeder Rd,1,"Mexican,Juice Bars & Smoothies,Sandwiches"
Village Bar,(608) 233-9956,3801 Mineral Point Rd,1,"Pubs,Burgers,American (Traditional)"
Willalby’s Cafe,(608) 259-9032,1351 Williamson St,1,Breakfast & Brunch
"MOOYAH Burgers, Fries & Shakes",(608) 270-1022,6309 McKee Rd,1,"Burgers,Ice Cream & Frozen Yogurt,Hot Dogs"
New Seoul Korean,(608) 829-3331,721 N High Point Rd,1,Korean
MACS,(608) 318-8823,2804 Prairie Lakes Dr,1,"American (New),Comfort Food"
Paoli Schoolhouse Shops & Café,(608) 848-6261,6857 Paoli Rd,1,"American (Traditional),Burgers,Sandwiches"
Cheba Hut Toasted Subs,(608) 819-8485,453 W Gilman St,1,Sandwiches
El Pastor,(608) 280-8898,2010 S Park St,1,Mexican
Ancora Coffee,(608) 233-5287,3318 University Ave,1,"Coffee & Tea,Breakfast & Brunch,Cafes"
MOD Pizza,(608) 240-9650,2249 Zeier Rd,1,"Fast Food,Pizza"
Asian Sweet Bakery,(608) 665-3988,1017 S Park St,1,"Bakeries,Chinese"
Helbachs Coffee House,(608) 821-0571,410 Donofrio Dr,1,"Coffee & Tea,Breakfast & Brunch,Cafes"
El Poblano Mexican Restaurant,(608) 204-2642,3737 Milwaukee St,1,Mexican
Himal Chuli,(608) 251-9225,318 State St,1,Himalayan/Nepalese
Miko Poke,(608) 416-5241,2701 Monroe St,1,"Poke,Hawaiian"
Johnson Public House,(608) 347-0483,908 E Johnson St,1,"Coffee & Tea,Breakfast & Brunch,Pubs"
Alchemy,(608) 204-7644,1980 Atwood Ave,1,"American (New),Burgers"
Salvatore’s Tomato Pies,(608) 318-1761,121 E Main St,1,"Pizza,Italian,American (New)"
Villa Tap,(608) 244-9627,2302 Packers Ave,1,"Dive Bars,American (Traditional)"
Pizza Brutta,(608) 841-1882,6712 Frank Lloyd Wright Ave,1,Pizza
La Rosita Latina Grocery Store,(608) 221-2203,6005 Monona Dr,1,"Grocery,Mexican,Latin American"
Rare Steakhouse,(608) 204-9000,14 W Mifflin St,1,"Steakhouses,Seafood,American (Traditional)"
Chick-fil-A,(608) 833-4344,430 S Gammon Rd,1,Fast Food
Los Atlantes,(608) 446-1462,5706 Raymond Rd,1,Mexican
Villa Dolce Cafe,(608) 833-0033,1828 Parmenter St,1,"Italian,Pizza,Wine Bars"
Lake Vista Cafe,(608) 261-4000,1 John Nolen Dr,1,"American (Traditional),Seafood"
Umami Ramen & Dumpling Bar,(608) 819-6319,923 Williamson St,1,"Japanese,Chinese,Taiwanese"
Nook,(608) 852-7894,2138 Atwood Ave,0,
Mr.Kimchi Modern Korean,(608) 665-3020,225 King St,0,
Taqueria El Jalapeño,(608) 709-1345,1318 S Midvale Blvd,1,Mexican
Crostini Sandwiches,(608) 241-4284,231 North St,1,"Sandwiches,Gluten-Free,Salad"
Cafe Porta Alba,(608) 441-0202,558 N Midvale Blvd,1,"Pizza,Italian"
Gloria’s Mexican Restaurant,(608) 203-9222,610 Junction Rd,1,Mexican
Poke Plus & Teriyaki,(608) 630-9283,615 State St,1,"Hawaiian,Poke"
Cafe La Bellitalia,(608) 243-1200,1026 N Sherman Ave,1,"Italian,Pizza"
Cafe Maya,(608) 709-1909,5501 Odana Rd,1,"Coffee & Tea,Breakfast & Brunch,Sandwiches"
Estrellón,(608) 251-2111,313 W Johnson St,1,"Spanish,Tapas Bars,Basque"
Parthenon Gyros,(608) 251-6311,316 State St,1,Greek
The Side Door Grill and Tap,(608) 310-4800,240 W Gilman St,1,"American (Traditional),Pubs,Burgers"
Maharana Indian Restaurant,(608) 246-8525,1707 Theirer Rd,1,"Indian,Soup,Seafood"
Otto’s Restaurant & Bar,(608) 274-4044,6405 Mineral Point Rd,1,"Mediterranean,Seafood,Bars"
Guimo’s Mexican Restaurant,(608) 318-2895,126 N Bristol St,1,Mexican
Tip Top Tavern,(608) 241-5515,601 N North St,1,"American (New),Pubs"
Lupe’s Taqueria,(608) 841-1715,6719 Frank Lloyd Wright Blvd,1,Mexican
Eno Vino Downtown,(608) 455-0663,1 N Webster St,1,"Wine Bars,Seafood,Cocktail Bars"
Takumi Japanese Restaurant,(608) 663-3899,4222 E Towne Blvd,1,"Japanese,Sushi Bars"
Brothers Three Bar & Grill,(608) 244-6818,614 N Fair Oaks Ave,1,"Burgers,American (Traditional),Bars"
Dexter’s Pub,(608) 244-3535,301 North St,1,"Pubs,American (Traditional),Sports Bars"
Gates & Brovi,(608) 819-8988,3502 Monroe St,1,"American (New),Sports Bars,Breakfast & Brunch"
Hubbard Avenue Diner,(608) 831-6800,7445 Hubbard Ave,1,"American (New),Diners"
Café Zupas,(608) 416-8148,8310 Greenway Blvd,1,"Salad,Soup,Sandwiches"
La Baguette,(608) 827-6775,7424 Mineral Point Rd,1,"Bakeries,Cafes,French"
Colectivo Coffee,(608) 255-0474,25 S Pinckney St,1,"Coffee & Tea,Bakeries,Breakfast & Brunch"
Bartaco Hilldale,(608) 620-8226,464 N Midvale Blvd,1,Tacos
Pinkus McBride Market,(608) 284-8000,301 N Hamilton St,1,"Grocery,Beer, Wine & Spirits,Delis"
Baldwin Street Grille,(608) 442-8400,1304 E Washington Ave,1,"Bars,American (Traditional)"
Squirrel’s Nest,(608) 838-0293,2655 State Rd 51,1,"Sports Bars,Breakfast & Brunch,Coffee & Tea"
Taqueria Sabor Queretano,(608) 249-0877,4512 E Washington Ave,1,Mexican
Willy Street Co-op - West,(608) 284-7800,6825 University Ave,1,"Grocery,Bakeries,Delis"
People’s Bakery,(608) 245-0404,2810 E Washington Ave,1,"Bakeries,Mediterranean,Lebanese"
Meze Mediterranean Cuisine,(608) 318-0010,503 West Main St,2,
Strings Ramen,(608) 665-3837,311 N Frances St,1,Ramen
Plaka Taverna,(608) 251-4455,410 E Wilson St,1,"Greek,Mediterranean,Breakfast & Brunch"
Porter,(608) 720-1110,640 W Washington Ave,1,"Coffee & Tea,Breakfast & Brunch,Sandwiches"
Natt Spil,,211 King St,1,"Pizza,Dim Sum,Bars"
Muramoto Hilldale,(608) 441-1090,546 N Midvale Blvd,1,Sushi Bars
Ground Zero Coffee,(608) 294-8668,744 Williamson St,1,Cafes
Glass Nickel Pizza - Madison East,(608) 245-0880,2916 Atwood Ave,1,"Pizza,Sandwiches,Salad"
Metcalfe’s Market,(608) 238-7612,726 N Midvale Blvd,1,"Grocery,Florists,Cafes"
Vin Santo,(608) 836-1880,7462 Hubbard Ave,1,Italian
Taqueria Gonzalez,(608) 824-9619,2606 Allen Blvd,1,"Mexican,International Grocery"
DumplingHaus,(608) 661-4287,540 N Midvale Blvd,1,Chinese
Tex Tubb’s Taco Palace,(608) 242-1800,2009 Atwood Ave,1,"Mexican,Tex-Mex"
The Caribou Tavern,(608) 257-5993,703 E Johnson St,1,"Burgers,Dive Bars"
Rossi’s Pizza,(608) 222-5115,4503 Monona Dr,1,"Pizza,Arcades"
Blue Moon Bar & Grill,(608) 233-0441,2535 University Ave,1,"Burgers,Sports Bars,Pool Halls"
Louisianne’s,(608) 831-1929,7464 Hubbard Ave,1,"Cajun/Creole,Seafood"
Shamrock Bar & Grille,(608) 259-8480,117 W Main St,1,"American (Traditional),Gay Bars"
Thai Noodles,(608) 270-9527,5957 Mckee Rd,1,"Thai,Noodles"
Curry in the Box,(608) 238-1900,3519 University Ave,1,"Indian,Thai"
Fuji Sushi & Hibachi,(608) 827-8898,1610 Deming Way,1,"Sushi Bars,Japanese"
Barriques,(608) 819-6787,961 S Park St,1,"Coffee & Tea,Cafes"
Los Gemelos,(608) 467-6999,244 W Gilman St,1,Mexican
Hy-Vee,(608) 273-5120,2920 Fitchrona Rd,1,"Grocery,Department Stores,American (New)"
Sujeo,(608) 630-9400,10 N Livingston St,1,"Korean,Asian Fusion,Noodles"
Noosh,(608) 216-4511,1431 Regent St,1,Middle Eastern
Harvest Restaurant,(608) 255-6075,21 N Pinckney St,1,"American (New),Bars"
Roman Candle Pizzeria,(608) 258-2000,1054 Williamson St,1,"Pizza,Italian"
La Concha,(608) 276-9263,3054 Fish Hatchery Rd,1,"Bakeries,Mexican,Delis"
Ziggy’s BBQ Smokehouse & Ice Cream Parlor,(608) 291-0915,135 S Main St,1,"Barbeque,Ice Cream & Frozen Yogurt,Smokehouse"
Anna’s Pizzeria,(608) 825-2660,1609 W Main St,1,Pizza
Boar & Barrel,(608) 285-5651,101 N Hamilton St,1,"Wine Bars,Whiskey Bars,Tapas Bars"
Tuvalu Coffehouse & Gallery,(608) 845-6800,300 S Main St,1,"Arts & Crafts,Sandwiches,Coffee & Tea"
Draft House Bar & Restaurant,(608) 848-3158,1010 Enterprise Dr,1,"American (Traditional),Sports Bars"
Muramoto Downtown,(608) 255-4343,108 King St,1,"Sushi Bars,Asian Fusion,Cocktail Bars"
Mediterranean Hookah Lounge and Cafe,(608) 251-7733,77 Sirloin Strip,1,"Lounges,Mediterranean,Hookah Bars"
Burrito Drive,(608) 260-8586,310 S Brearly St,1,"Mexican,Tex-Mex"
Chipotle Mexican Grill,(608) 250-4613,658 State St,1,"Mexican,Fast Food"
Erin’s Snug Irish Pub,(608) 242-7616,4601 American Pkwy,1,"Irish,Irish Pub,Venues & Event Spaces"
Nick’s Restaurant,(608) 255-5450,226 State St,1,"Bars,Greek"
McFarland House Cafe,(608) 838-4100,5923 Exchange St,1,"Coffee & Tea,Ice Cream & Frozen Yogurt,Breakfast & Brunch"
Sa-Bai Thong,(608) 238-3100,2840 University Ave,1,Thai
Rosati’s Pizza,(608) 833-9300,6644 Mineral Point Rd,1,"Pizza,Italian"
Bierock,(608) 515-8087,2911 N Sherman Ave,2,
Buck’s Pizza,(608) 222-8011,219 Cottage Grove Rd,1,Pizza
Great Dane Pub & Brewing,(608) 661-9400,357 Price Pl,1,"American (Traditional),Breweries,Bars"
Essen Haus,(608) 255-4674,514 E Wilson St,1,"German,Bars,Music Venues"
Vientiane Palace Restaurant,(608) 255-2848,151 W Gorham St,1,"Thai,Vegan,Vegetarian"
Nile Restaurant,(608) 274-1788,6119 Odana Rd,1,"Mediterranean,Diners,Egyptian"
Lao Laan-Xang,(608) 819-0140,2098 Atwood Ave,1,"Thai,Laotian"
Dobhan’s Kitchen,(608) 242-4448,2110 Atwood Ave,1,"Himalayan/Nepalese,Breakfast & Brunch"
Madison’s,(608) 229-0900,119 King St,1,"American (New),Lounges"
The Flying Hound Alehouse,(608) 310-4422,6317 McKee Rd,1,"American (New),Beer, Wine & Spirits"
Teddywedgers,(608) 230-5360,101 State St,1,"Cafes,Bakeries"
Naf Naf Grill,(608) 286-1242,555 State St,1,"Middle Eastern,Salad,Falafel"
Doolittles Woodfire Grill,(608) 729-4980,4323 E Towne Blvd,1,"American (Traditional),Wine Bars"
Stalzy’s Deli,(608) 249-7806,2701 Atwood Ave,1,"Delis,Bakeries,Breakfast & Brunch"
Wings Over Madison,(608) 467-3300,2739 University Ave,1,"Chicken Wings,American (Traditional),Barbeque"
Harmony Bar & Grill,(608) 249-4333,2201 Atwood Ave,1,"Dive Bars,American (Traditional)"
Samba Brazilian Grill,(608) 257-1111,240 W Gilman St,1,Brazilian
Vintage Spirits & Grill,(608) 250-0700,529 University Ave,1,"Breakfast & Brunch,American (New),Beer Bar"
Bonfyre American Grille,(608) 273-3973,2601 W Beltline Hwy,1,"American (Traditional),Beer Bar,Cocktail Bars"
A&W Restaurant,(608) 846-4314,4505 Lake Cir,1,"Burgers,Fast Food,Hot Dogs"
"MOOYAH Burgers, Fries & Shakes",(608) 285-9293,571 State St,1,"Burgers,Hot Dogs,Ice Cream & Frozen Yogurt"
Jersey Mike’s Subs,(608) 824-0872,1601 Deming Way,1,"Sandwiches,Fast Food,Delis"
Charlie’s On Main,(608) 291-2255,113 S Main St,1,"Venues & Event Spaces,American (New),Cocktail Bars"
Oliva,(608) 831-7776,751 N High Point Rd,1,"Mediterranean,Italian"
Rising Sons,(608) 841-1884,745 N High Point Rd,1,"Thai,Asian Fusion"
Buraka Restaurant,(608) 286-1448,1210 Williamson St,1,"Ethiopian,African"
Doughboys Pizza,(608) 839-6222,447 West Cottage Grove Rd,1,"Pizza,Diners"
Metcalfe’s Market,(608) 829-3500,7455 Mineral Point Rd,1,"Grocery,Beer, Wine & Spirits,Cafes"
Yola’s Cafe,(608) 827-5800,494 Commerce Dr,1,"Coffee & Tea,Breakfast & Brunch,American (Traditional)"
Culver’s,(608) 274-1221,2102 W Beltline Hwy,1,"Burgers,Fast Food,Ice Cream & Frozen Yogurt"
Mirch Masala,(608) 665-3667,449 State St,1,"Indian,Himalayan/Nepalese"
Mr. Brews Taphouse,(608) 286-1131,103 W Broadway,1,"Pubs,Burgers"
Sunroom Cafe,(608) 255-1555,638 State St,1,"Breakfast & Brunch,Cafes,Salad"
Delaney’s Charcoal Steaks,(608) 833-7337,449 Grand Canyon Dr,1,"Steakhouses,Salad,Seafood"
Sol’s On the Square,(608) 251-0116,117 E Mifflin St,1,Korean
Ichiban Sichuan,(608) 819-8808,610 S Park St,1,Chinese
Off Broadway Drafthouse,(608) 630-9111,5404 Raywood Rd,1,"Pubs,American (Traditional),Burgers"
Pine Cone Restaurant,(608) 249-8778,6162 US Hwy 5,1,American (Traditional)
Brocach,(608) 255-2015,7 W Main St,1,"Irish,Pubs"
Village Pizza,(608) 285-5956,616 University Ave,1,
Paul’s Club,(608) 257-5250,204 State St,1,"Lounges,American (New)"
Funk’s Pub,(608) 442-9500,5956 Executive Dr,1,"Pubs,Music Venues,American (Traditional)"
Camp Trippalindee,(608) 257-4391,601 Langdon St,1,"American (New),Bars"
Bear & Bottle,(608) 630-8800,601 N Sherman Ave,1,"Pubs,Tacos,Sandwiches"
Cafe Hollander,(608) 237-3168,701 Hilldale Way,1,"American (Traditional),Belgian,Breakfast & Brunch"
